,price,Address,moreinfo,bedroom,bathroom,size_sqf,types,city,province
129,"1,750",Madoc,"2 bd
1 ba
32 x 100 ft",2,1,32,House,Brampton,Ontario
130,"1,600",Northwest Brampton,"2 bd
1 ba
1100 - 1500 sf",2,1,1100,House,Brampton,Ontario
131,"2,500",Queen Street Corridor,"2 bd
2 ba",2,2,,Apt/Condo,Brampton,Ontario
132,"1,500",Credit Valley,"2 bd
1 ba",2,1,,House,Brampton,Ontario
133,"2,700",Sandringham Wellington,"3 bd
2 ba",3,2,,Townhouse,Brampton,Ontario
134,"2,750",Northwood Park,"4 + 1 bd
2 ba
50 x 125 ft",4 + 1,2,50,House,Brampton,Ontario
135,"1,975",Sandringham Wellington,"1 bd
1 ba
600 - 699 sf",1,1,600,Apt/Condo,Brampton,Ontario
136,"1,399",Madoc,"2 bd
1 ba
65 x 107 ft",2,1,65,House,Brampton,Ontario
137,"2,499",Madoc,"3 bd
1 ba
65 x 107 ft",3,1,65,House,Brampton,Ontario
138,"2,950",Bram East,"4 + 1 bd
3 ba",4 + 1,3,,House,Brampton,Ontario
139,"2,950",Fletcher's Creek South,"3 bd
3 ba
2000 - 2249 sf",3,3,2000,Townhouse,Brampton,Ontario
140,"2,200",Westgate,"1 bd
1 ba",1,1,,Apt/Condo,Brampton,Ontario
141,"2,650",Northwest Brampton,"3 bd
3 ba
1500 - 2000 sf",3,3,1500,Townhouse,Brampton,Ontario
142,"1,575",Northwest Brampton,"2 bd
1 ba
45 x 89 ft",2,1,45,House,Brampton,Ontario
143,"1,475",Brampton North,"1 bd
1 ba
700 sf",1,1,700,Apt/Condo,Brampton,Ontario
144,"1,550",Sandringham Wellington,"2 bd
1 ba
700 - 1100 sf",2,1,700,Apt/Condo,Brampton,Ontario
145,"1,550",Fletcher's Meadow,"2 bd
1 ba",2,1,,House,Brampton,Ontario
146,"1,200",Heart Lake West,"1 bd
1 ba",1,1,,House,Brampton,Ontario
147,"3,250",Vales Of Castlemore,"4 bd
3 ba
45 x 82 ft",4,3,45,House,Brampton,Ontario
148,"2,400",Brampton North,"3 bd
1 ba
1100 - 1500 sf
50 x 100 ft",3,1,1100,House,Brampton,Ontario
149,"2,800",Credit Valley,"3 bd
3 ba
1500 - 2000 sf",3,3,1500,House,Brampton,Ontario
150,"2,700",Fletcher's Creek South,"3 bd
3 ba",3,3,,House,Brampton,Ontario
151,"1,700",Heart Lake West,"2 bd
1 ba",2,1,,House,Brampton,Ontario
152,"2,900",Sandringham Wellington,"4 bd
3 ba
2000 - 2500 sf",4,3,2000,House,Brampton,Ontario
153,"2,000",Sandringham Wellington,"2 bd
1 ba",2,1,,House,Brampton,Ontario
154,"2,400",Bram East,"3 bd
2 ba",3,2,,Apt/Condo,Brampton,Ontario
155,"3,650",Bram East,"4 bd
2 ba",4,2,,House,Brampton,Ontario
156,"3,200",Fletcher's Meadow,"4 bd
4 ba",4,4,,House,Brampton,Ontario
157,"2,850",Northwest Brampton,"V Tour

3 bd
3 ba
2000 - 2500 sf",3,,2000,"


Townhouse",Brampton,Ontario
158,"1,850",Bram East,"2 bd
2 ba
700 - 1100 sf",2,2,700,House,Brampton,Ontario
159,"3,200",Northwest Brampton,"4 bd
4 ba",4,4,,House,Brampton,Ontario
160,"2,800",Fletcher's Meadow,"4 bd
3 ba",4,3,,House,Brampton,Ontario
161,"3,600",Bram West,"5 bd
4 ba",5,4,,House,Brampton,Ontario
162,"2,600",Central Park,"3 bd
1 ba",3,1,,House,Brampton,Ontario
163,"1,400",Brampton West,"0 bd
1 ba",0,1,,Apt/Condo,Brampton,Ontario
164,"2,800",Sandringham Wellington,"V Tour

3 bd
3 ba",3,,,"


Townhouse",Brampton,Ontario
165,"2,750",Northwood Park,"3 + 1 bd
3 ba",3 + 1,3,,House,Brampton,Ontario
166,"2,000",Credit Valley,"V Tour

2 bd
2 ba",2,,,"


House",Brampton,Ontario
167,"2,850",Sandringham Wellington,"4 bd
4 ba",4,4,,House,Brampton,Ontario
168,"2,900",Fletcher's West,"3 + 1 bd
3 ba",3 + 1,3,,House,Brampton,Ontario
169,"2,300",Brampton East,"3 bd
1 ba
700 - 1100 sf
51 x 101 ft",3,1,700,House,Brampton,Ontario
170,"2,100",Sandringham Wellington,"1 bd
1 ba
600 - 699 sf",1,1,600,Apt/Condo,Brampton,Ontario
171,"1,250",Fletcher's Meadow,"1 bd
1 ba",1,1,,House,Brampton,Ontario
172,"2,250",Madoc,"3 bd
2 ba",3,2,,House,Brampton,Ontario
